asn_name,country,asn_num,count
VODAFONE-IT-ASN,IT,30722,148
"Telecom Argentina S.A.",AR,7303,144
"Eliana Paula Mendes Rolim dos Santos ME",BR,52726,142
"AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services",IN,24560,141
"YUNIFY-NET Yunify Technologies Inc.",CN,59078,138
VODAFONE_ES,ES,12430,137
"COGENT-174 - Cogent Communications",US,174,134
"SINGTEL-FIBRE Singtel Fibre Broadband",SG,9506,133
NTL,GB,5089,132
PARFUMURI-FEMEI-AS,RO,44220,130
"EPM Telecomunicaciones S.A. E.S.P.",CO,13489,129
AS268788,BR,268788,129
"TELIANET-SWEDEN Telia Company",SE,3301,128
"CMNET-JIANGSU-AP China Mobile communications corporation",CN,56046,128
FORTUNA-AS,RU,56720,128
"BSNL-NIB National Internet Backbone",IN,9829,128
"Axtel, S.A.B. de C.V.",MX,6503,125
"BJKSCNET Beijing Kingsoft Cloud Internet Technology Co., Ltd",CN,59019,123
MTS,RU,8359,123
"ENTEL CHILE S.A.",CL,27651,122
SKYNET-SPB-AS,RU,35807,122
BSKYB-BROADBAND-AS,GB,5607,121
"OPALTELECOM-AS TalkTalk Communications Limited",GB,13285,120
FLOKINET,SC,200651,120
SERVETHEWORLD-AS,NO,34989,120
"OMANTEL-NAP-AS OmanTel NAP",OM,28885,118
"COMBAHTON combahton IT Services UG (haftungsbeschraenkt)",DE,30823,118
MARWAN-AS,MA,30983,118
PL-EMULTINET-AS,PL,203985,117
Cotesma,AR,27818,117
"STARLINK-AS Moscow, Russia",RU,34602,117
EARTHLINK-AS,IQ,50710,117
"BLUETONE-AS The Czech Republic",CZ,25248,116
"PR TELECOMUNICACOES E INFORMATICA LTDA",BR,262862,116
"RIO CABLE TELECOM LTDA",BR,264100,116
TELENET-AS,RU,35154,116
"DANSKNET Markedsgade 8, 1",DK,35158,116
Network-Platforms,ZA,37497,116
ERTH-OMSK-AS,RU,41843,116
"MTS-ASN - MTS Inc.",CA,7122,116
"TELEFÔNICA BRASIL S.A",BR,18881,114
"EGIHOSTING - EGIHosting",US,18779,113
"XIAONIAOYUN Shenzhen Qianhai bird cloud computing Co. Ltd.",CN,63612,113
DFRI-AS,SE,198093,109
"TOTAL PLAY TELECOMUNICACIONES SA DE CV",MX,22884,108
"ENET-2 - eNET Inc.",US,10297,104
LDCOMNET,FR,15557,103
"SUNHK-DATA-AS-AP Sun Network (Hong Kong) Limited - HongKong Backbone",HK,38197,103
"LVHN-AS-VN Branch of Long Van System Solution JSC - Hanoi",VN,131423,102
